movie,budget,revenue,status,vote_count,vote_average,profit_ratio
Avatar,237000000.0,2781505847.0,Released,11022,7.2,11.7363115907173
Star Wars: The Force Awakens,245000000.0,2068223624.0,Released,7330,7.5,8.44172907755102
Titanic,200000000.0,1845034188.0,Released,6844,7.5,9.22517094
The Avengers,220000000.0,1519557910.0,Released,11100,7.4,6.907081409090909
Jurassic World,150000000.0,1513528810.0,Released,8044,6.5,10.090192066666667
Furious 7,190000000.0,1506249360.0,Released,3928,7.3,7.927628210526316
Avengers: Age of Ultron,280000000.0,1405035767.0,Released,6208,7.3,5.017984882142857
Harry Potter and the Deathly Hallows: Part 2,125000000.0,1342000000.0,Released,5448,7.8,10.736
Frozen,150000000.0,1274219009.0,Released,4823,7.4,8.494793393333333
Beauty and the Beast,160000000.0,1256977550.0,Released,4338,6.8,7.8561096875
Iron Man 3,200000000.0,1215439994.0,Released,8367,6.8,6.07719997
The Fate of the Furious,250000000.0,1212583865.0,Released,3151,6.8,4.85033546
Minions,74000000.0,1156730962.0,Released,3905,6.4,15.631499486486486
Captain America: Civil War,250000000.0,1153304495.0,Released,6580,7.0,4.61321798
Transformers: Dark of the Moon,195000000.0,1123746996.0,Released,3118,6.1,5.762805107692308
The Lord of the Rings: The Return of the King,94000000.0,1118888979.0,Released,7540,8.1,11.903074244680852
Skyfall,200000000.0,1108561013.0,Released,7277,6.9,5.542805065
Transformers: Age of Extinction,210000000.0,1091405097.0,Released,2907,5.8,5.1971671285714285
The Dark Knight Rises,250000000.0,1084939099.0,Released,8589,7.5,4.339756396
Toy Story 3,200000000.0,1066969703.0,Released,4223,7.6,5.334848515
