Unnamed: 0,event_id,location,date,tweets_count,keywords,event_sentiment,classification,Common_keywords_id
0,1,Washington,09-13-2022,13,"[('allies', 0.0370141109748817), ('trafalgar', 0.03721077110150191), ('sousa', 0.04399369818986871), ('george', 0.05784562492099588), ('spce', 0.05784562492099588), ('northern', 0.05784562492099588), ('walk', 0.05784562492099588), ('brandywine', 0.05784562492099588), ('fan', 0.07523813057581621), ('chemath', 0.07523813057581621), ('opinion', 0.07523813057581621), ('complicated', 0.07523813057581621), ('largest', 0.09969870888904847), ('smart', 0.09969870888904847), ('locomotive', 0.09969870888904847), ('differences', 0.09969870888904847), ('wheeling', 0.09969870888904847), ('pubed', 0.09969870888904847), ('virginia', 0.09969870888904847), ('kind', 0.09969870888904847), ('cross-post', 0.09969870888904847), ('entry', 0.09969870888904847), ('chinese', 0.09969870888904847), ('dhia', 0.09969870888904847), ('kamianakmalaysia', 0.09969870888904847), ('tolakperkauman', 0.09969870888904847), ('undervalued', 0.09969870888904847), ('moon', 0.09969870888904847), ('texas', 0.09969870888904847), ('nfl', 0.09969870888904847), ('pkk', 0.09969870888904847), ('seek', 0.09969870888904847), ('prisoner', 0.09969870888904847), ('full', 0.09969870888904847), ('oklahoma', 0.09969870888904847), ('joão', 0.09969870888904847), ('army', 0.09969870888904847)]",Positive,historical,
1,2,Washington,09-16-2022,13,"[('corsi', 0.04162912505109767), ('interview', 0.04893343557270021), ('president', 0.06745510690279337), ('national', 0.06745510690279337), ('all-electric', 0.07203235992303841), ('special', 0.07203235992303841), ('suggested', 0.07839524667725171), ('passenger', 0.08523519804252222), ('beach', 0.0901091391190432), ('flight', 0.0901091391190432), ('trump', 0.0901091391190432), ('iran', 0.0901091391190432), ('andré', 0.0901091391190432), ('office', 0.10118266035419005), ('rosario', 0.11731911370030411), ('usa', 0.11731911370030411), ('illegitimate', 0.11731911370030411), ('stole', 0.11731911370030411), ('follow', 0.11731911370030411), ('spy', 0.11731911370030411), ('deception', 0.16064686660457486), ('oak', 0.16064686660457486), ('harbor', 0.16064686660457486), ('bnw', 0.16064686660457486), ('monochrome', 0.16064686660457486), ('outdoors', 0.16064686660457486), ('unpicphotography', 0.16064686660457486), ('mens', 0.16064686660457486), ('rugby', 0.16064686660457486), ('shanksville', 0.16064686660457486), ('pennsylvania', 0.16064686660457486), ('pilots', 0.16064686660457486), ('accompanied', 0.16064686660457486), ('appeals', 0.16064686660457486), ('justify', 0.16064686660457486), ('delivered', 0.16064686660457486), ('join', 0.16064686660457486), ('hillary', 0.16064686660457486), ('advocacy', 0.16064686660457486), ('beginning', 0.16064686660457486), ('nuclear', 0.16064686660457486), ('attacks', 0.1802182782380864), ('gaza', 0.31582436001027947), ('bombshell', 0.39929935463724), ('responsibility', 0.39929935463724)]",Negative,historical,
2,3,Washington,09-03-2022,8,"[('director', 0.10912854635271647), ('curiously', 0.10912854635271647), ('commission', 0.10912854635271647), ('irap', 0.10912854635271647), ('police', 0.14664619820575983), ('general', 0.14994525152222218), ('visiting', 0.14994525152222218), ('asked', 0.14994525152222218), ('events', 0.14994525152222218), ('bio', 0.14994525152222218), ('olubowale', 0.14994525152222218), ('akintimehin', 0.14994525152222218), ('born', 0.14994525152222218), ('stage', 0.14994525152222218), ('maryland', 0.20377790464882356), ('academic', 0.379895239496449), ('james', 0.379895239496449), ('china', 0.379895239496449), ('unidentified', 0.379895239496449), ('photographer', 0.379895239496449), ('inch', 0.379895239496449), ('glass', 0.379895239496449), ('museum', 0.379895239496449), ('society', 0.379895239496449), ('good', 0.379895239496449), ('newport', 0.379895239496449), ('puta', 0.379895239496449), ('william', 0.379895239496449), ('attacks', 0.379895239496449), ('nyc', 0.379895239496449)]",Positive,sport,C1
3,4,Washington,09-09-2022,14,"[('maryland', 0.02620209941119737), ('boulevard', 0.04564101103641372), ('unidentified', 0.04564101103641372), ('photographer', 0.04564101103641372), ('inch', 0.04564101103641372), ('glass', 0.04564101103641372), ('aubrey', 0.04564101103641372), ('bodine', 0.04564101103641372), ('donation', 0.04564101103641372), ('city', 0.04564101103641372), ('museum', 0.04564101103641372), ('historical', 0.04564101103641372), ('officer', 0.05060822459040601), ('state', 0.06033071991983432), ('unemployment', 0.0757607775347083), ('back', 0.0757607775347083), ('night', 0.0757607775347083), ('risk', 0.08642917545386532), ('idea', 0.08642917545386532), ('drops', 0.11989841533624203), ('labor', 0.11989841533624203), ('accept', 0.11989841533624203), ('fema', 0.11989841533624203), ('individuals', 0.11989841533624203), ('families', 0.11989841533624203), ('occurring', 0.11989841533624203), ('jan', 0.11989841533624203), ('paid', 0.11989841533624203), ('mentally', 0.11989841533624203), ('charges', 0.11989841533624203), ('records', 0.11989841533624203), ('shown', 0.11989841533624203), ('fund', 0.11989841533624203), ('terrible', 0.11989841533624203), ('puyallup', 0.11989841533624203), ('stopdvbypolice', 0.11989841533624203), ('vikings', 0.11989841533624203)]",Negative,sport,C1
4,5,Washington,09-10-2022,27,"[('george', 0.04167087239681818), ('school', 0.05233454670089549), ('all-electric', 0.05233454670089549), ('largest', 0.05233454670089549), ('rail', 0.05233454670089549), ('high', 0.05384758987908687), ('passenger', 0.05551978827087812), ('set', 0.06196282699361643), ('union', 0.06196282699361643), ('contract', 0.06196282699361643), ('strike', 0.06196282699361643), ('dismantling', 0.10290236001769189), ('whiteness', 0.10290236001769189), ('insensitive', 0.10290236001769189), ('significant', 0.10290236001769189), ('back', 0.11245618325778739), ('impostures', 0.1237423180033275), ('compliments', 0.1237423180033275), ('begins', 0.12677071961760267), ('airplane', 0.12677071961760267), ('flew', 0.12677071961760267), ('zero-emissions', 0.12677071961760267), ('usa', 0.12677071961760267), ('fund', 0.12677071961760267), ('imf', 0.12677071961760267), ('decelerated', 0.12677071961760267), ('cbi', 0.12677071961760267), ('disk', 0.12677071961760267), ('labor', 0.12677071961760267), ('deal', 0.12677071961760267), ('reached', 0.12677071961760267), ('possibility', 0.12677071961760267), ('hard', 0.16471861064717422), ('punkrockhistory', 0.28488729502913557), ('officer', 0.28877276506542365), ('additionally', 0.3351951939306791), ('ghaisar', 0.3351951939306791), ('parkway', 0.3351951939306791), ('tajxj', 0.3351951939306791), ('programs', 0.3351951939306791), ('mill', 0.3351951939306791), ('occupied', 0.3351951939306791), ('malachi', 0.3351951939306791), ('tds', 0.3351951939306791), ('dave', 0.3351951939306791), ('told', 0.3351951939306791), ('journal', 0.3351951939306791), ('inch', 0.3351951939306791), ('aubrey', 0.3351951939306791), ('city', 0.3351951939306791)]",Positive,business,
5,6,Washington,09-07-2022,16,"[('race', 0.03903359105776622), ('team', 0.046097064775391376), ('world', 0.046097064775391376), ('puyallup', 0.04883625125106962), ('statetrooper', 0.04883625125106962), ('nationals', 0.051887617633502), ('point', 0.058550386586649336), ('remember', 0.0602453593155059), ('repercution', 0.0602453593155059), ('scaffolding', 0.0602453593155059), ('announced', 0.0602453593155059), ('mediocrity', 0.07749658937708671), ('risk', 0.07749658937708671), ('central', 0.07749658937708671), ('mrss', 0.07749658937708671), ('west', 0.07749658937708671), ('tour', 0.10260994201194085), ('aughts', 0.10260994201194085), ('olympics', 0.10260994201194085), ('time', 0.10260994201194085), ('informative', 0.10260994201194085), ('accomplishments', 0.10260994201194085), ('charged', 0.10260994201194085), ('bad', 0.10260994201194085), ('gurudev', 0.10260994201194085), ('shankar', 0.10260994201194085), ('seeds', 0.10260994201194085), ('human', 0.10260994201194085), ('culture', 0.10260994201194085), ('simultaneously', 0.10260994201194085), ('response', 0.10260994201194085), ('london', 0.10260994201194085), ('sirianni', 0.10260994201194085), ('shot', 0.10260994201194085), ('harrystyles', 0.10260994201194085), ('oliviawilde', 0.10260994201194085), ('park', 0.10260994201194085), ('kqgoie', 0.10260994201194085)]",Positive,sport,
6,7,Washington,09-05-2022,8,"[('leonard', 0.05943658134470685), ('peltier', 0.05943658134470685), ('bio', 0.08699919102881236), ('akintimehin', 0.08699919102881236), ('folarin', 0.08699919102881236), ('stage', 0.08699919102881236), ('irap', 0.10524414361355054), ('stopdvbypolice', 0.11864504483222153), ('special', 0.11864504483222153), ('episode', 0.11864504483222153), ('officer', 0.14953389852737592), ('choked', 0.14953389852737592), ('walk', 0.14953389852737592), ('minneapolis', 0.14953389852737592), ('ten', 0.14953389852737592), ('reached', 0.14953389852737592), ('freedom', 0.14953389852737592), ('unjustly', 0.14953389852737592), ('vietnam', 0.18323555948248635), ('hindsight', 0.2556717061524303), ('illegitimate', 0.3185840434506526), ('bomb', 0.37913441168478423), ('independence', 0.37913441168478423), ('today', 0.37913441168478423), ('million', 0.37913441168478423), ('words', 0.37913441168478423), ('dismissed', 0.37913441168478423), ('cbs', 0.37913441168478423), ('post', 0.37913441168478423), ('opining', 0.47081105652556504)]",Positive,entertainment,C2
7,8,Washington,09-06-2022,12,"[('sad', 0.08828023306278984), ('banger', 0.08828023306278984), ('home', 0.09195393128969652), ('repercution', 0.11808107580410548), ('dinah', 0.12916551249782207), ('tiktok', 0.1841431090082235), ('album', 0.18815089683127054), ('rain', 0.18815089683127054), ('audio', 0.18815089683127054), ('record', 0.18815089683127054), ('lps', 0.18815089683127054), ('personal', 0.18815089683127054), ('play', 0.18815089683127054), ('akintimehin', 0.18815089683127054), ('wife', 0.21341591091596218), ('stopdvbypolice', 0.21341591091596218), ('summoned', 0.25168900644101255), ('appeared', 0.25168900644101255), ('trooper', 0.4459538317324922), ('shot', 0.4459538317324922), ('worth', 0.4459538317324922), ('stuns', 0.4459538317324922), ('western', 0.4459538317324922), ('wildcats', 0.4459538317324922), ('advance', 0.4459538317324922), ('matchup', 0.4459538317324922), ('kwong', 0.4459538317324922), ('put', 0.4459538317324922), ('quickly', 0.4459538317324922), ('attempts', 0.4459538317324922), ('economy', 0.4459538317324922), ('egypt', 0.4459538317324922), ('syria', 0.4459538317324922), ('lebanon', 0.4459538317324922), ('downtown', 0.4459538317324922), ('private', 0.4459538317324922), ('tonight', 0.4459538317324922), ('mentally', 0.4459538317324922), ('assault', 0.4459538317324922), ('handwritten', 0.4459538317324922), ('vanessa', 0.4459538317324922), ('affairs', 0.4459538317324922)]",Negative,sport,C3
8,9,Washington,09-08-2022,14,"[('state', 0.08422463599680921), ('home', 0.10594805977424433), ('repercution', 0.10594805977424433), ('high', 0.11872569149922355), ('work', 0.11872569149922355), ('today', 0.11872569149922355), ('gun', 0.12021070318637259), ('physical', 0.12021070318637259), ('violence', 0.12021070318637259), ('yards', 0.13451229620929372), ('federal', 0.14462839188917193), ('trump', 0.14462839188917193), ('unconscionable', 0.14462839188917193), ('benedict', 0.177788877733132), ('stopdvbypolice', 0.1914300513617154), ('wife', 0.20898056787607924), ('charged', 0.20898056787607924), ('lamont', 0.20898056787607924), ('williams', 0.20898056787607924), ('arrested', 0.20898056787607924), ('corbett', 0.20898056787607924), ('bluntest', 0.20898056787607924), ('reckoning', 0.20898056787607924), ('finally', 0.20898056787607924), ('growth', 0.20898056787607924), ('malachi', 0.20898056787607924), ('back', 0.20898056787607924), ('factors', 0.20898056787607924), ('led', 0.20898056787607924), ('foreign', 0.20898056787607924), ('bob', 0.20898056787607924), ('akintimehin', 0.20898056787607924), ('icymi', 0.4610799922430975), ('downtown', 0.478502349934337), ('betrays', 0.478502349934337), ('command', 0.478502349934337), ('harbour', 0.5720674950329178), ('support', 0.5720674950329178)]",Negative,sport,C3
9,10,Washington,09-12-2022,13,"[('hate', 0.07445992283427397), ('man', 0.07445992283427397), ('born', 0.08494663295211993), ('beals', 0.12928422054305463), ('coulda', 0.12928422054305463), ('bio', 0.1543331531492652), ('akintimehin', 0.1543331531492652), ('history', 0.1564512675325864), ('originally', 0.17614902996508044), ('chattanooga', 0.17614902996508044), ('area', 0.17614902996508044), ('violence', 0.17614902996508044), ('died', 0.17614902996508044), ('blew-out', 0.17614902996508044), ('live', 0.17614902996508044), ('concerts', 0.17614902996508044), ('park', 0.17614902996508044), ('irap', 0.18899828528625454), ('cranston', 0.2212530023758409), ('india', 0.2212530023758409), ('night', 0.22600679203457702), ('shot', 0.42613899637300523), ('reportedly', 0.42613899637300523), ('photographer', 0.42613899637300523), ('museum', 0.42613899637300523), ('purpose', 0.42613899637300523), ('meeting', 0.42613899637300523), ('utah', 0.5196682228001211), ('najib', 0.5196682228001211), ('million', 0.5196682228001211)]",Negative,sport,C1
